"","Survived","Pclass","Sex","Age","Fare","Embarked","hasFamily","Title"
"446","1","1","male",4,81.8583,"S","1","Master"
"447","1","2","female",13,19.5,"S","1","Miss"
"448","1","1","male",34,26.55,"S","0","Mr"
"449","1","3","female",5,19.2583,"C","1","Miss"
"450","1","1","male",52,30.5,"S","0","Officer"
"451","0","2","male",36,27.75,"S","1","Mr"
"452","0","3","male",18,19.9667,"S","1","Mr"
"453","0","1","male",30,27.75,"C","0","Mr"
"454","1","1","male",49,89.1042,"C","1","Mr"
"455","0","3","male",21,8.05,"S","0","Mr"
"456","1","3","male",29,7.8958,"C","0","Mr"
"457","0","1","male",65,26.55,"S","0","Mr"
"458","1","1","female",47,51.8625,"S","1","Mrs"
"459","1","2","female",50,10.5,"S","0","Miss"
"460","0","3","male",65,7.75,"Q","0","Mr"
"461","1","1","male",48,26.55,"S","0","Mr"
"462","0","3","male",34,8.05,"S","0","Mr"
"463","0","1","male",47,38.5,"S","0","Mr"
"464","0","2","male",48,13,"S","0","Mr"
"465","0","3","male",21,8.05,"S","0","Mr"
"466","0","3","male",38,7.05,"S","0","Mr"
"467","0","2","male",36,10.5,"S","0","Mr"
"468","0","1","male",56,26.55,"S","0","Mr"
"469","0","3","male",25,7.725,"Q","0","Mr"
"470","1","3","female",0,19.2583,"C","1","Miss"
"471","0","3","male",22,7.25,"S","0","Mr"
"472","0","3","male",38,8.6625,"S","0","Mr"
"473","1","2","female",33,27.75,"S","1","Mrs"
"474","1","2","female",23,13.7917,"C","0","Mrs"
"475","0","3","female",22,9.8375,"S","0","Miss"
"476","0","1","male",42,52,"S","0","Mr"
"477","0","2","male",34,21,"S","1","Mr"
"478","0","3","male",29,7.0458,"S","1","Mr"
"479","0","3","male",22,7.5208,"S","0","Mr"
"480","1","3","female",2,12.2875,"S","1","Miss"
"481","0","3","male",9,46.9,"S","1","Master"
"482","0","2","male",36,10.5,"S","0","Mr"
"483","0","3","male",50,8.05,"S","0","Mr"
"484","1","3","female",63,9.5875,"S","0","Mrs"
"485","1","1","male",25,91.0792,"C","1","Mr"
"486","0","3","female",10,25.4667,"S","1","Miss"
"487","1","1","female",35,90,"S","1","Mrs"
"488","0","1","male",58,29.7,"C","0","Mr"
"489","0","3","male",30,8.05,"S","0","Mr"
"490","1","3","male",9,15.9,"S","1","Master"
"491","0","3","male",18,19.9667,"S","1","Mr"
"492","0","3","male",21,7.25,"S","0","Mr"
"493","0","1","male",55,30.5,"S","0","Mr"
"494","0","1","male",71,49.5042,"C","0","Mr"
"495","0","3","male",21,8.05,"S","0","Mr"
"496","0","3","male",17,14.4583,"C","0","Mr"
"497","1","1","female",54,78.2667,"C","1","Miss"
"498","0","3","male",21,15.1,"S","0","Mr"
"499","0","1","female",25,151.55,"S","1","Mrs"
"500","0","3","male",24,7.7958,"S","0","Mr"
"501","0","3","male",17,8.6625,"S","0","Mr"
"502","0","3","female",21,7.75,"Q","0","Miss"
"503","0","3","female",21,7.6292,"Q","0","Miss"
"504","0","3","female",37,9.5875,"S","0","Miss"
"505","1","1","female",16,86.5,"S","0","Miss"
"506","0","1","male",18,108.9,"C","1","Mr"
"507","1","2","female",33,26,"S","1","Mrs"
"508","1","1","male",34,26.55,"S","0","Mr"
"509","0","3","male",28,22.525,"S","0","Mr"
"510","1","3","male",26,56.4958,"S","0","Mr"
"511","1","3","male",29,7.75,"Q","0","Mr"
"512","0","3","male",21,8.05,"S","0","Mr"
"513","1","1","male",36,26.2875,"S","0","Mr"
"514","1","1","female",54,59.4,"C","1","Mrs"
"515","0","3","male",24,7.4958,"S","0","Mr"
"516","0","1","male",47,34.0208,"S","0","Mr"
"517","1","2","female",34,10.5,"S","0","Mrs"
"518","0","3","male",65,24.15,"Q","0","Mr"
"519","1","2","female",36,26,"S","1","Mrs"
"520","0","3","male",32,7.8958,"S","0","Mr"
"521","1","1","female",30,93.5,"S","0","Miss"
"522","0","3","male",22,7.8958,"S","0","Mr"
"523","0","3","male",40,7.225,"C","0","Mr"
"524","1","1","female",44,57.9792,"C","1","Mrs"
"525","0","3","male",23,7.2292,"C","0","Mr"
"526","0","3","male",40,7.75,"Q","0","Mr"
"527","1","2","female",50,10.5,"S","0","Miss"
"528","0","1","male",47,221.7792,"S","0","Mr"
"529","0","3","male",39,7.925,"S","0","Mr"
"530","0","2","male",23,11.5,"S","1","Mr"
"531","1","2","female",2,26,"S","1","Miss"
"532","0","3","male",23,7.2292,"C","0","Mr"
"533","0","3","male",17,7.2292,"C","1","Mr"
"534","1","3","female",0,22.3583,"C","1","Mrs"
"535","0","3","female",30,8.6625,"S","0","Miss"
"536","1","2","female",7,26.25,"S","1","Miss"
"537","0","1","male",45,26.55,"S","0","Officer"
"538","1","1","female",30,106.425,"C","0","Miss"
"539","0","3","male",21,14.5,"S","0","Mr"
"540","1","1","female",22,49.5,"C","1","Miss"
"541","1","1","female",36,71,"S","1","Miss"
"542","0","3","female",9,31.275,"S","1","Miss"
"543","0","3","female",11,31.275,"S","1","Miss"
"544","1","2","male",32,26,"S","1","Mr"
"545","0","1","male",50,106.425,"C","1","Mr"
"546","0","1","male",64,26,"S","0","Mr"
"547","1","2","female",19,26,"S","1","Mrs"
"548","1","2","male",34,13.8625,"C","0","Mr"
"549","0","3","male",33,20.525,"S","1","Mr"
"550","1","2","male",8,36.75,"S","1","Master"
"551","1","1","male",17,110.8833,"C","1","Mr"
"552","0","2","male",27,26,"S","0","Mr"
"553","0","3","male",65,7.8292,"Q","0","Mr"
"554","1","3","male",22,7.225,"C","0","Mr"
"555","1","3","female",22,7.775,"S","0","Miss"
"556","0","1","male",62,26.55,"S","0","Mr"
"557","1","1","female",48,39.6,"C","1","Royalty"
"558","0","1","male",24,227.525,"C","0","Mr"
"559","1","1","female",39,79.65,"S","1","Mrs"
"560","1","3","female",36,17.4,"S","1","Mrs"
"561","0","3","male",65,7.75,"Q","0","Mr"
"562","0","3","male",40,7.8958,"S","0","Mr"
"563","0","2","male",28,13.5,"S","0","Mr"
"564","0","3","male",21,8.05,"S","0","Mr"
"565","0","3","female",21,8.05,"S","0","Miss"
"566","0","3","male",24,24.15,"S","1","Mr"
"567","0","3","male",19,7.8958,"S","0","Mr"
"568","0","3","female",29,21.075,"S","1","Mrs"
"569","0","3","male",23,7.2292,"C","0","Mr"
"570","1","3","male",32,7.8542,"S","0","Mr"
"571","1","2","male",62,10.5,"S","0","Mr"
"572","1","1","female",53,51.4792,"S","1","Mrs"
"573","1","1","male",36,26.3875,"S","0","Mr"
"574","1","3","female",22,7.75,"Q","0","Miss"
"575","0","3","male",16,8.05,"S","0","Mr"
"576","0","3","male",19,14.5,"S","0","Mr"
"577","1","2","female",34,13,"S","0","Miss"
"578","1","1","female",39,55.9,"S","1","Mrs"
"579","0","3","female",17,14.4583,"C","1","Mrs"
"580","1","3","male",32,7.925,"S","0","Mr"
"581","1","2","female",25,30,"S","1","Miss"
"582","1","1","female",39,110.8833,"C","1","Mrs"
"583","0","2","male",54,26,"S","0","Mr"
"584","0","1","male",36,40.125,"C","0","Mr"
"585","0","3","male",33,8.7125,"C","0","Mr"
"586","1","1","female",18,79.65,"S","1","Miss"
"587","0","2","male",47,15,"S","0","Mr"
"588","1","1","male",60,79.2,"C","1","Mr"
"589","0","3","male",22,8.05,"S","0","Mr"
"590","0","3","male",21,8.05,"S","0","Mr"
"591","0","3","male",35,7.125,"S","0","Mr"
"592","1","1","female",52,78.2667,"C","1","Mrs"
"593","0","3","male",47,7.25,"S","0","Mr"
"594","0","3","female",30,7.75,"Q","1","Miss"
"595","0","2","male",37,26,"S","1","Mr"
"596","0","3","male",36,24.15,"S","1","Mr"
"597","1","2","female",19,33,"S","0","Miss"
"598","0","3","male",49,8.05,"S","0","Mr"
"599","0","3","male",40,7.225,"C","0","Mr"
"600","1","1","male",49,56.9292,"C","1","Royalty"
"601","1","2","female",24,27,"S","1","Mrs"
"602","0","3","male",36,7.8958,"S","0","Mr"
"603","0","1","male",45,42.4,"S","0","Mr"
"604","0","3","male",44,8.05,"S","0","Mr"
"605","1","1","male",35,26.55,"C","0","Mr"
"606","0","3","male",36,15.55,"S","1","Mr"
"607","0","3","male",30,7.8958,"S","0","Mr"
"608","1","1","male",27,30.5,"S","0","Mr"
"609","1","2","female",22,41.5792,"C","1","Mrs"
"610","1","1","female",40,153.4625,"S","0","Miss"
"611","0","3","female",39,31.275,"S","1","Mrs"
"612","0","3","male",24,7.05,"S","0","Mr"
"613","1","3","female",32,15.5,"Q","1","Miss"
"614","0","3","male",65,7.75,"Q","0","Mr"
"615","0","3","male",35,8.05,"S","0","Mr"
"616","1","2","female",24,65,"S","1","Miss"
"617","0","3","male",34,14.4,"S","1","Mr"
"618","0","3","female",26,16.1,"S","1","Mrs"
"619","1","2","female",4,39,"S","1","Miss"
"620","0","2","male",26,10.5,"S","0","Mr"
"621","0","3","male",27,14.4542,"C","1","Mr"
"622","1","1","male",42,52.5542,"S","1","Mr"
"623","1","3","male",20,15.7417,"C","1","Mr"
"624","0","3","male",21,7.8542,"S","0","Mr"
"625","0","3","male",21,16.1,"S","0","Mr"
"626","0","1","male",61,32.3208,"S","0","Mr"
"627","0","2","male",57,12.35,"Q","0","Officer"
"628","1","1","female",21,77.9583,"S","0","Miss"
"629","0","3","male",26,7.8958,"S","0","Mr"
"630","0","3","male",25,7.7333,"Q","0","Mr"
"631","1","1","male",80,30,"S","0","Mr"
"632","0","3","male",51,7.0542,"S","0","Mr"
"633","1","1","male",32,30.5,"C","0","Officer"
"634","0","1","male",39,13,"S","0","Mr"
"635","0","3","female",9,27.9,"S","1","Miss"
"636","1","2","female",28,13,"S","0","Miss"
"637","0","3","male",32,7.925,"S","0","Mr"
"638","0","2","male",31,26.25,"S","1","Mr"
"639","0","3","female",41,39.6875,"S","1","Mrs"
"640","0","3","male",30,16.1,"S","1","Mr"
"641","0","3","male",20,7.8542,"S","0","Mr"
"642","1","1","female",24,69.3,"C","0","Miss"
"643","0","3","female",2,27.9,"S","1","Miss"
"644","1","3","male",32,56.4958,"S","0","Mr"
"645","1","3","female",0,19.2583,"C","1","Miss"
"646","1","1","male",48,76.7292,"C","1","Mr"
"647","0","3","male",19,7.8958,"S","0","Mr"
"648","1","1","male",56,35.5,"C","0","Officer"
"649","0","3","male",24,7.55,"S","0","Mr"
"650","1","3","female",23,7.55,"S","0","Miss"
"651","0","3","male",36,7.8958,"S","0","Mr"
"652","1","2","female",18,23,"S","1","Miss"
"653","0","3","male",21,8.4333,"S","0","Mr"
"654","1","3","female",19,7.8292,"Q","0","Miss"
"655","0","3","female",18,6.75,"Q","0","Miss"
"656","0","2","male",24,73.5,"S","1","Mr"
"657","0","3","male",36,7.8958,"S","0","Mr"
"658","0","3","female",32,15.5,"Q","1","Mrs"
"659","0","2","male",23,13,"S","0","Mr"
"660","0","1","male",58,113.275,"C","1","Mr"
"661","1","1","male",50,133.65,"S","1","Officer"
"662","0","3","male",40,7.225,"C","0","Mr"
"663","0","1","male",47,25.5875,"S","0","Mr"
"664","0","3","male",36,7.4958,"S","0","Mr"
"665","1","3","male",20,7.925,"S","1","Mr"
"666","0","2","male",32,73.5,"S","1","Mr"
"667","0","2","male",25,13,"S","0","Mr"
"668","0","3","male",26,7.775,"S","0","Mr"
"669","0","3","male",43,8.05,"S","0","Mr"
"670","1","1","female",48,52,"S","1","Mrs"
"671","1","2","female",40,39,"S","1","Mrs"
"672","0","1","male",31,52,"S","1","Mr"
"673","0","2","male",70,10.5,"S","0","Mr"
"674","1","2","male",31,13,"S","0","Mr"
"675","0","2","male",36,10.5,"S","0","Mr"
"676","0","3","male",18,7.775,"S","0","Mr"
"677","0","3","male",24,8.05,"S","0","Mr"
"678","1","3","female",18,9.8417,"S","0","Miss"
"679","0","3","female",43,46.9,"S","1","Mrs"
"680","1","1","male",36,91.0792,"C","1","Mr"
"681","0","3","female",21,8.1375,"Q","0","Miss"
"682","1","1","male",27,76.7292,"C","0","Mr"
"683","0","3","male",20,9.225,"S","0","Mr"
"684","0","3","male",14,46.9,"S","1","Mr"
"685","0","2","male",60,39,"S","1","Mr"
"686","0","2","male",25,41.5792,"C","1","Mr"
"687","0","3","male",14,39.6875,"S","1","Mr"
"688","0","3","male",19,10.1708,"S","0","Mr"
"689","0","3","male",18,7.7958,"S","0","Mr"
"690","1","1","female",15,211.3375,"S","1","Miss"
"691","1","1","male",31,57,"S","1","Mr"
"692","1","3","female",4,13.4167,"C","1","Miss"
"693","1","3","male",32,56.4958,"S","0","Mr"
"694","0","3","male",25,7.225,"C","0","Mr"
"695","0","1","male",60,26.55,"S","0","Officer"
"696","0","2","male",52,13.5,"S","0","Mr"
"697","0","3","male",44,8.05,"S","0","Mr"
"698","1","3","female",16,7.7333,"Q","0","Miss"
"699","0","1","male",49,110.8833,"C","1","Mr"
"700","0","3","male",42,7.65,"S","0","Mr"
"701","1","1","female",18,227.525,"C","1","Mrs"
"702","1","1","male",35,26.2875,"S","0","Mr"
"703","0","3","female",18,14.4542,"C","1","Miss"
"704","0","3","male",25,7.7417,"Q","0","Mr"
"705","0","3","male",26,7.8542,"S","1","Mr"
"706","0","2","male",39,26,"S","0","Mr"
"707","1","2","female",45,13.5,"S","0","Mrs"
"708","1","1","male",42,26.2875,"S","0","Mr"
"709","1","1","female",22,151.55,"S","0","Miss"
"710","1","3","male",4,15.2458,"C","1","Master"
"711","1","1","female",24,49.5042,"C","0","Miss"
"712","0","1","male",62,26.55,"S","0","Mr"
"713","1","1","male",48,52,"S","1","Mr"
"714","0","3","male",29,9.4833,"S","0","Mr"
"715","0","2","male",52,13,"S","0","Mr"
"716","0","3","male",19,7.65,"S","0","Mr"
"717","1","1","female",38,227.525,"C","0","Miss"
"718","1","2","female",27,10.5,"S","0","Miss"
"719","0","3","male",65,15.5,"Q","0","Mr"
"720","0","3","male",33,7.775,"S","0","Mr"
"721","1","2","female",6,33,"S","1","Miss"
"722","0","3","male",17,7.0542,"S","1","Mr"
"723","0","2","male",34,13,"S","0","Mr"
"724","0","2","male",50,13,"S","0","Mr"
"725","1","1","male",27,53.1,"S","1","Mr"
"726","0","3","male",20,8.6625,"S","0","Mr"
"727","1","2","female",30,21,"S","1","Mrs"
"728","1","3","female",16,7.7375,"Q","0","Miss"
"729","0","2","male",25,26,"S","1","Mr"
"730","0","3","female",25,7.925,"S","1","Miss"
"731","1","1","female",29,211.3375,"S","0","Miss"
"732","0","3","male",11,18.7875,"C","0","Mr"
"733","0","2","male",36,10.5,"S","0","Mr"
"734","0","2","male",23,13,"S","0","Mr"
"735","0","2","male",23,13,"S","0","Mr"
"736","0","3","male",28,16.1,"S","0","Mr"
"737","0","3","female",48,34.375,"S","1","Mrs"
"738","1","1","male",35,26.55,"C","0","Mr"
"739","0","3","male",36,7.8958,"S","0","Mr"
"740","0","3","male",36,7.8958,"S","0","Mr"
"741","1","1","male",29,30,"S","0","Mr"
"742","0","1","male",36,78.85,"S","1","Mr"
"743","1","1","female",21,262.375,"C","1","Miss"
"744","0","3","male",24,16.1,"S","1","Mr"
"745","1","3","male",31,7.925,"S","0","Mr"
"746","0","1","male",70,71,"S","1","Officer"
"747","0","3","male",16,20.25,"S","1","Mr"
"748","1","2","female",30,13,"S","0","Miss"
"749","0","1","male",19,53.1,"S","1","Mr"
"750","0","3","male",31,7.75,"Q","0","Mr"
"751","1","2","female",4,23,"S","1","Miss"
"752","1","3","male",6,12.475,"S","1","Master"
"753","0","3","male",33,9.5,"S","0","Mr"
"754","0","3","male",23,7.8958,"S","0","Mr"
"755","1","2","female",48,65,"S","1","Mrs"
"756","1","2","male",0,14.5,"S","1","Master"
"757","0","3","male",28,7.7958,"S","0","Mr"
"758","0","2","male",18,11.5,"S","0","Mr"
"759","0","3","male",34,8.05,"S","0","Mr"
"760","1","1","female",33,86.5,"S","0","Royalty"
"761","0","3","male",21,14.5,"S","0","Mr"
"762","0","3","male",41,7.125,"S","0","Mr"
"763","1","3","male",20,7.2292,"C","0","Mr"
"764","1","1","female",36,120,"S","1","Mrs"
"765","0","3","male",16,7.775,"S","0","Mr"
"766","1","1","female",51,77.9583,"S","1","Mrs"
"767","0","1","male",56,39.6,"C","0","Officer"
"768","0","3","female",30,7.75,"Q","0","Miss"
"769","0","3","male",24,24.15,"Q","1","Mr"
"770","0","3","male",32,8.3625,"S","0","Mr"
"771","0","3","male",24,9.5,"S","0","Mr"
"772","0","3","male",48,7.8542,"S","0","Mr"
"773","0","2","female",57,10.5,"S","0","Mrs"
"774","0","3","male",40,7.225,"C","0","Mr"
"775","1","2","female",54,23,"S","1","Mrs"
"776","0","3","male",18,7.75,"S","0","Mr"
"777","0","3","male",65,7.75,"Q","0","Mr"
"778","1","3","female",5,12.475,"S","0","Miss"
"779","0","3","male",25,7.7375,"Q","0","Mr"
"780","1","1","female",43,211.3375,"S","1","Mrs"
"781","1","3","female",13,7.2292,"C","0","Miss"
"782","1","1","female",17,57,"S","1","Mrs"
"783","0","1","male",29,30,"S","0","Mr"
"784","0","3","male",24,23.45,"S","1","Mr"
"785","0","3","male",25,7.05,"S","0","Mr"
"786","0","3","male",25,7.25,"S","0","Mr"
"787","1","3","female",18,7.4958,"S","0","Miss"
"788","0","3","male",8,29.125,"Q","1","Master"
"789","1","3","male",1,20.575,"S","1","Master"
"790","0","1","male",46,79.2,"C","0","Mr"
"791","0","3","male",65,7.75,"Q","0","Mr"
"792","0","2","male",16,26,"S","0","Mr"
"793","0","3","female",16,69.55,"S","1","Miss"
"794","0","1","male",56,30.6958,"C","0","Mr"
"795","0","3","male",25,7.8958,"S","0","Mr"
"796","0","2","male",39,13,"S","0","Mr"
"797","1","1","female",49,25.9292,"S","0","Officer"
"798","1","3","female",31,8.6833,"S","0","Mrs"
"799","0","3","male",30,7.2292,"C","0","Mr"
"800","0","3","female",30,24.15,"S","1","Mrs"
"801","0","2","male",34,13,"S","0","Mr"
"802","1","2","female",31,26.25,"S","1","Mrs"
"803","1","1","male",11,120,"S","1","Master"
"804","1","3","male",0,8.5167,"C","1","Master"
"805","1","3","male",27,6.975,"S","0","Mr"
"806","0","3","male",31,7.775,"S","0","Mr"
"807","0","1","male",39,13,"S","0","Mr"
"808","0","3","female",18,7.775,"S","0","Miss"
"809","0","2","male",39,13,"S","0","Mr"
"810","1","1","female",33,53.1,"S","1","Mrs"
"811","0","3","male",26,7.8875,"S","0","Mr"
"812","0","3","male",39,24.15,"S","0","Mr"
"813","0","2","male",35,10.5,"S","0","Mr"
"814","0","3","female",6,31.275,"S","1","Miss"
"815","0","3","male",30,8.05,"S","0","Mr"
"816","0","1","male",39,13,"S","0","Mr"
"817","0","3","female",23,7.925,"S","0","Miss"
"818","0","2","male",31,37.0042,"C","1","Mr"
"819","0","3","male",43,6.45,"S","0","Mr"
"820","0","3","male",10,27.9,"S","1","Master"
"821","1","1","female",52,93.5,"S","1","Mrs"
"822","1","3","male",27,8.6625,"S","0","Mr"
"823","0","1","male",38,8.6625,"S","0","Royalty"
"824","1","3","female",27,12.475,"S","1","Mrs"
"825","0","3","male",2,39.6875,"S","1","Master"
"826","0","3","male",21,6.95,"Q","0","Mr"
"827","0","3","male",28,56.4958,"S","0","Mr"
"828","1","2","male",1,37.0042,"C","1","Master"
"829","1","3","male",29,7.75,"Q","0","Mr"
"830","1","1","female",62,80,"S","0","Mrs"
"831","1","3","female",15,14.4542,"C","1","Mrs"
"832","1","2","male",0,18.75,"S","1","Master"
"833","0","3","male",23,7.2292,"C","0","Mr"
"834","0","3","male",23,7.8542,"S","0","Mr"
"835","0","3","male",18,8.3,"S","0","Mr"
"836","1","1","female",39,83.1583,"C","1","Miss"
"837","0","3","male",21,8.6625,"S","0","Mr"
"838","0","3","male",21,8.05,"S","0","Mr"
"839","1","3","male",32,56.4958,"S","0","Mr"
"840","1","1","male",32,29.7,"C","0","Mr"
"841","0","3","male",20,7.925,"S","0","Mr"
"842","0","2","male",16,10.5,"S","0","Mr"
"843","1","1","female",30,31,"C","0","Miss"
"844","0","3","male",34,6.4375,"C","0","Mr"
"845","0","3","male",17,8.6625,"S","0","Mr"
"846","0","3","male",42,7.55,"S","0","Mr"
"847","0","3","male",4,69.55,"S","1","Mr"
"848","0","3","male",35,7.8958,"C","0","Mr"
"849","0","2","male",28,33,"S","1","Officer"
"850","1","1","female",39,89.1042,"C","1","Mrs"
"851","0","3","male",4,31.275,"S","1","Master"
"852","0","3","male",74,7.775,"S","0","Mr"
"853","0","3","female",9,15.2458,"C","1","Miss"
"854","1","1","female",16,39.4,"S","1","Miss"
"855","0","2","female",44,26,"S","1","Mrs"
"856","1","3","female",18,9.35,"S","1","Mrs"
"857","1","1","female",45,164.8667,"S","1","Mrs"
"858","1","1","male",51,26.55,"S","0","Mr"
"859","1","3","female",24,19.2583,"C","1","Mrs"
"860","0","3","male",23,7.2292,"C","0","Mr"
"861","0","3","male",41,14.1083,"S","1","Mr"
"862","0","2","male",21,11.5,"S","1","Mr"
"863","1","1","female",48,25.9292,"S","0","Mrs"
"864","0","3","female",16,69.55,"S","1","Miss"
"865","0","2","male",24,13,"S","0","Mr"
"866","1","2","female",42,13,"S","0","Mrs"
"867","1","2","female",27,13.8583,"C","1","Miss"
"868","0","1","male",31,50.4958,"S","0","Mr"
"869","0","3","male",28,9.5,"S","0","Mr"
"870","1","3","male",4,11.1333,"S","1","Master"
"871","0","3","male",26,7.8958,"S","0","Mr"
"872","1","1","female",47,52.5542,"S","1","Mrs"
"873","0","1","male",33,5,"S","0","Mr"
"874","0","3","male",47,9,"S","0","Mr"
"875","1","2","female",28,24,"C","1","Mrs"
"876","1","3","female",15,7.225,"C","0","Miss"
"877","0","3","male",20,9.8458,"S","0","Mr"
"878","0","3","male",19,7.8958,"S","0","Mr"
"879","0","3","male",36,7.8958,"S","0","Mr"
"880","1","1","female",56,83.1583,"C","1","Mrs"
"881","1","2","female",25,26,"S","1","Mrs"
"882","0","3","male",33,7.8958,"S","0","Mr"
"883","0","3","female",22,10.5167,"S","0","Miss"
"884","0","2","male",28,10.5,"S","0","Mr"
"885","0","3","male",25,7.05,"S","0","Mr"
"886","0","3","female",39,29.125,"Q","1","Mrs"
"887","0","2","male",27,13,"S","0","Officer"
"888","1","1","female",19,30,"S","0","Miss"
"889","0","3","female",10,23.45,"S","1","Miss"
"890","1","1","male",26,30,"C","0","Mr"
"891","0","3","male",32,7.75,"Q","0","Mr"
